dataset name,accuracy median,accuracy mean,f1 score median,f1 score mean
01_iris_setosa_versicolor.csv,1.0,0.99,1.0,0.993103448275862
02_iris_setosa_virginica.csv,1.0,1.0,1.0,1.0
03_iris_versicolor_virginica.csv,0.95,0.9100000000000001,0.9230769230769231,0.8940231807173337
04_seeds_1_2.csv,0.9285714285714286,0.9357142857142857,0.9333333333333333,0.9334197324414715
05_ecoli_cp_im.csv,0.9318181818181818,0.9318181818181819,0.9032258064516129,0.8932092638544251
06_glasses_1_2.csv,0.5,0.5625,0.3333333333333333,0.32575757575757575
07_breast_tissue_adi_fadmasgla.csv,1.0,0.9866666666666667,1.0,0.9904761904761905
08_breast_cancer_lite.csv,0.5,0.5375,0.2222222222222222,0.3474747474747475
09_accent_recognition_uk_us.csv,0.75,0.7875,0.8571428571428571,0.8782010582010582
10_leaf_11_9.csv,1.0,1.0,1.0,1.0
11_vertebral_column_2C.csv,0.6774193548387096,0.6935483870967742,0.25,0.24638426090038995
12_breast-cancer.csv,0.9469026548672567,0.9347461574289706,0.9213483146067416,0.9084127791697277
